"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,2895,2800,2800,2700,2750,2800,2799,2800,2800,2866.5,2900,2950,2900,2850,2850,2800,2800,2800,2875,2950,2998,3000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,2374.5,2400,2448.5,2550,2500,2592.5,2825,2500,2750,2800,2725,2700,2850,2595,2700,2795,2800,2700,2700,2600,2599,2595,2500,2600,2600,2681.5,2595,2695,2695,2500,2595,2600,2400,2300,2300,2400,2400,2400,2400,2450,2410,2500,2485,2650,2600,2500,2795,2600,2500,2595,2675,2750,2795,2995,3031,3000,2995,3000,2990,2995,2950,2999,3250,3300,3300,3395,3495,3500,3450,3363,3450,3600,3500,3500,3463,3500,3495
"Chicago","IL","Chicago","Cook",3,,1785,1800,1600,1600,1675,1700,1983,2000,2099,2100,1795,1800,1850,1900,1945,1850,1850,1875,1845,1750,1650,1600,1600,1695,1750,1700,1695,1750,1750,1750,1700,1700,1600,1650,1625,1700,1795,1704,1869,1850.5,1995,1890,1800,1795,1750,1795,1700,1700,1775,1850,2045,2150,2150,2000,2050,1966,1845,1750,1750,1817,1800,1983,2095,2100,2025,1995,2000,2000,2095,1925,1850,2000,1910,1995,2100,2195
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533,1450,1525,1400,1399,1477,1677,1700,1700,1700,1700,1669,1650,1700,1700,1750,1890,1900,1895,1900,1900,1875,1850,1800,1895,1900,1895,1850,1915,1899,1895,1850
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,1300,1300,1300,1200,1150,1150,1150,1150,1250,1337.5,1350,1300,1300,1285,1200,1100,1075,1100,1000,1100,1195,1250,1350,1400,1400,1325,1225,1200,1190,1200,1200,1200,1200,1200,1300,1495,1450,1450,1395,1300,1250,1250,1275,1300,1350,1400,1500,1500,1500,1500,1425,1400,1375,1350,1250,1300,1350,1450,1500,1500,1500
"Phoenix","AZ","Phoenix","Maricopa",6,1200,1190,1200,1200,1195,1175,1099,1100,1100,1099,1095,999.5,1000,1020,1050,1039,1050,1025,1050,1000,995,975,950,995,995,1000,1025,1020,1050,1025,1000,1000,1000,1002.5,1005,1008,1025,1025,1014.5,1005,1020,1025,995,1025,1025,1000,1017.5,1010,1000,1025,1050,1100,1095,1095,1125,1115,1100,1099,1100,1100,1139.5,1150,1150,1154.5,1185,1195,1193,1167.5,1175,1150,1195,1195,1199,1200,1226,1195,1225
"Las Vegas","NV","Las Vegas","Clark",7,1195,1180,1150,1200,1050,1150,1195,1157,1150,1150,1100,1150,1150,1100,1120,1150,1150,1150,1150,1150,1125,1100,1100,1100,1095,1095,1099,1100,1100,1100,1100,1100,1095,1095,1095,1095,1095,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1125,1100,1100,1100,1150,1150,1175,1180,1175,1174,1160,1175,1150,1175,1195,1200,1195,1199,1200,1200,1200,1200,1200,1200,1200,1200,1245,1225,1250,1250
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,1155,1100,1050,1100,1034,1090,1095,1095,1095,1100,1125,1100,1095,1095,1100,1100,1125,1150,1157,1100,1095,1150,1150,1135,1100,1100,1125,1100,1200,1155,1237,1250,1233.5,1225,1240,1225,1200,1200,1200,1200,1200,1200,1200,1200,1225,1250,1250,1250,1250,1250,1250,1250,1250,1250,1275,1295,1295,1300,1300,1300,1300,1295,1295,1299,1295,1300,1301,1300,1300,1325
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,3000,2800,2800,2300,2425,2397,2400,2395,2397.5,2395,2295,2200,2250,2250,2200,2200,2250,2200,2150,2195,2200,2210,2200,2250,2200,2200,2195,2160,2200,2200,2200,2225,2295,2350,2300,2395,2357.5,2200,2395,2395,2300,2295,2300,2482.5,2500,2495,2500,2495,2500,2500,2500,2595,2650,2600,2600,2600,2595,2600,2675,2599.5,2600,2662.5,2710,2795,2785,2750,2795,2725,2760
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,1397.5,1310,1395,1250,1285,1395,1395,1350,1275,1275,1275,1200,1250,1350,1261.5,1220,1300,1200,1217.5,1276.5,1250,1195,1200,1200,1232.5,1285,1465.5,1325,1354,1399,1421,1345.5,1367,1295,1404,1650,1700,1851,1595,1495,1550,1649.5,1600,1485,1450,1450,1409,1350,1400,1395,1490,1450,1550,1595,1510,1500,1645,1650,1500,1450,1500,1532,1500,1595,1785,1750,1695,1550
