"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"New York","NY","New York","Queens",1,,,,,2300,2500,2500,2500,2600,2762.5,2680,2900,2600,2200,2536.5,2610,2695,2690,2773.5,2800,2800,2795,2650,2600,2450,2600,2550,2579.5,2600,2600,2615,2650.5,2700,2750,2700,2800,2800,2800,2800,2800,2900,2800,2700,2800,2850,2875,2900,2900,2925,2925,2900,2850,2950,2995,2900,2900,2900,2950,2900,2850,2924,2950,2950,2950,2900,3000,3000,3000,3000,2995,2995,2995,2995,2950,2995,2995,2995,2950
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2980,2900,2950,2950,2995,2975,2999.5,3195,3195,3200,3250,3300,3300,3250,3200,3200,3300,3350,3350,3350,3250,3395
"Chicago","IL","Chicago","Cook",3,,1575,1500,1500,1500,1585,1532.5,1500,1600,1650,1700,1775,1500,1550,1595,1600,1600,1610,1650,1650,1650,1625,1600,1600,1600,1623,1650,1600,1600,1650,1650,1650,1595,1595,1560,1597,1595,1589.5,1575,1575,1600,1600,1629.5,1627,1655,1700,1688.5,1700,1695,1670,1690,1695,1758.5,1764,1781,1795,1800,1800,1795,1790,1750,1750,1780,1750,1785,1790,1799,1800,1750,1720,1715,1700,1728.5,1750,1757,1775,1744.5,1750
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1199.5,1200,1200,1269,1375,1395,1395,1400,1450,1430,1430,1400,1450,1450,1450,1495,1512.5,1550,1595,1550,1525,1500,1500,1550,1595,1575,1575,1576,1550,1495,1495
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,1350,1450,1499,1450,1450,1450,1400,1350,1300,1300,1300,1200,1300,1395,1400,1400,1350,1300,1250,1200,1200,1200,1150,1150,1200,1275,1302.5,1395,1350,1300,1275,1290,1250,1200,1200,1200,1200,1250,1295,1500,1495,1495,1450,1395,1350,1350,1300,1350,1400,1495,1550,1595,1500,1500,1500,1450,1400,1400,1395,1400,1400,1500,1550,1550,1500
"Phoenix","AZ","Phoenix","Maricopa",6,,1295,1200,1200,1200,1100,1150,1195,1100,1100,1095,1095,1000,1000,1025,1050,1050,1050,1049,1050,1000,1000,995,995,995,995,1000,1000,1000,1049,1037.5,1000,1000,1000,999,999,995,995,999,1000,999,1000,1000,995,1045,1050,1050,1050,1050,1050,1050,1090,1100,1100,1104.5,1150,1125,1125,1125,1150,1150,1190,1195,1200,1200,1200,1195,1200,1195,1199,1195,1200,1200,1225,1250,1250,1200,1244.5
"Las Vegas","NV","Las Vegas","Clark",7,,1250,1250,1200,1200,1050,1150,1200,1200,1200,1195,1100,1150,1150,1100,1100,1175,1150,1150,1150,1150,1125,1100,1100,1100,1100,1100,1095,1095,1099,1100,1099,1095,1095,1095,1075,1095,1075,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1145,1145,1145,1130,1150,1150,1195,1195,1195,1195,1195,1195,1195,1195,1200,1200,1200,1200,1220,1225,1200,1200,1225,1200,1225,1250,1249.5,1250,1250,1250
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,1180,1155,1175,1100,1195,1095,1095,1100,1100,1150,1150,1195,1150,1125,1100,1100,1100,1100,1150,1150,1000,1000,1100,1100,1100,1095,1074,1095,1030,886,900,890,915,909,995,937,950,999,1095,1050,1065,1066,1075,1100,1100,1100,1133,1150,1150,1115,1100,1100,1095,1099,1100,1119,1100,1111,1150,1130,1110.5,1100,1100,1100,1100,1133,1135,1100,1085,1073.5,1100
"San Diego","CA","San Diego","San Diego",9,,,,,,,,3500,2995,2750,2495,2500,2095,2195,2180,2250,2295,2250,2200,2150,2100,2100,2095,2090,2000,2050,2000,1900,1880,1995,1995,1995,2000,1995,1995,1990,1950,1900,1900,1925,1990,1999,1995,1900,2200,2200,2195,2200,2200,2199.5,2195,2150,2250,2295,2295,2300,2300,2395,2300,2300,2350,2395,2300,2295,2250,2300,2300,2350,2350,2350,2395,2400,2400,2400,2400,2395,2300,2395
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1150,1075,1000,1100,1100,1195,1187.5,1100,1122,1198,1180,1195,1250,1295,1250,1250,1250,1250,1300,1250,1250,1235,1250,1295,1300,1330.5,1325,1300,1300,1299,1295,1300,1300,1350.5,1395,1400,1395,1450,1450,1399.5,1400,1400,1400,1400,1450,1495,1450,1450,1450
