"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,2500,2700,2750,2795,2800,2900,2995,2975,2995,2700,2595,2400,2600,2550,2600,2695,2734,2750,2800,2800,2895,2895,2950,2900,2950,2900,2900,2905,2849,2700,2800,2890,3000,3150,3183,3200,3195,3175,3150,3195,3200,3100,3100,3100,3100,3050,3095,3100,3100,3110,3150,3195,3200,3200,3200,3200,3200,3150,3150,3150,3100,3100,3100,3100,3000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2587.5,2600,2600,2650,2650,2700,2850,2800,2800,2895,2895,2900,2950,2850,2900,2950,2950,2950,2925,2800,2895
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,1550,1600,1650,1650,1650,1675,1680,1695,1700,1675,1675,1683.5,1700,1700,1695,1650,1699,1689.5,1701,1700,1725,1699,1655,1650,1699,1650,1650,1640,1641,1650,1644,1688,1785,1750,1769,1750,1775,1793,1800,1829.5,1850,1850,1850,1850,1850,1812,1850,1800,1805,1850,1800,1825,1845,1840,1850,1800,1800,1800,1800,1800,1850,1850,1850,1800,1850
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335,1378,1324.5,1300,1344,1324.5,1317,1317,1300,1320,1300,1320,1330,1324,1322,1324.5,1325,1300,1320,1317,1420,1400,1395,1400,1395,1400,1395,1400,1415,1450,1450,1425,1404,1400,1399.5
"Philadelphia","PA","Philadelphia","Philadelphia",5,1500,1290,1225,1295,1374.5,1374.5,1495,1292.5,1485,1422.5,1445,1295,1300,1400,1500,1500,1432.5,1445,1455,1400,1350,1300,1300,1250,1300,1350,1400,1400,1400,1350,1295,1200,1200,1200,1175,1150,1200,1295,1350,1400,1350,1295,1275,1295,1295,1250,1250,1200,1200,1250,1300,1500,1500,1500,1465,1400,1350,1350,1295,1350,1400,1500,1550,1595,1525,1500,1500,1475,1400,1400,1350,1400,1400,1500,1595,1575,1500
"Phoenix","AZ","Phoenix","Maricopa",6,,972.5,895,895,845,825,900,975,950,950,950,925,900,895,900,900,900,895,895,899,895,875,852.5,850,850,850,825,800,850,850,800,850,850,850,864,850,850,875,895,875,870,850,850,867,900,895,924,925,925,950,950,990,975,975,995,960,975,960,975,995,995,995,1050,1050,1062,1050,1095,1050,1050,1050,1047.5,1095,1099,1099,1075,1000,1047.5
"Las Vegas","NV","Las Vegas","Clark",7,897.5,900,899,900,850,895,900,940,900,850,800,850,850,847.5,850,885,850,850,850,850,850,825,850,850,825,845,800,800,800,800,800,800,800,825,850,850,825,850,850,850,850,900,900,875,850,850,850,850,850,850,850,875,875,875,895,900,900,900,925,935,925,950,950,950,950,950,950,900,925,925,925,925,946,925,950,950,995
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,758.5,782,850,853,850,867.5,838,825,857,875,850,846,874,878,880,882,979,925,920,900,900,900,926,979,967.5,995,987,950,937,880,876.5,875,860,891,878.5,875,1002.5,1010,1050,1050,1025,1025,1030,1030,1067.5,1100,995,1000,950
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,1975,1895,1945,1897.5,1850,1800,1800,1850,1850,1895,1850,1800,1800,1825,1741.5,1695,1750,1740,1700,1775,1795,1795,1800,1790,1775,1790,1790,1790,1795,1750,1700,1950,1999,1950,1995,2000,1995,1995,1988,1995,2050,2060,2097.5,2150,2150,2135,2100,2100,2100,2100,2000,1997.5,2050,2050,2135,2150,2195,2195,2195,2195,2195,2150,2100,2100,2175
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1350,1383,1385,1300,1295,1267.5,1275,1300,1300,1350,1350,1295,1300,1345,1295,1350,1350,1369,1395,1395,1350,1400,1395,1375,1400,1450,1400,1400,1400,1450,1400,1395,1379
"San Jose","CA","San Jose","Santa Clara",11,,,,,,,,,,,,1600,1695,1795,1900,1900,1875,1997.5,2062.5,1995,1995,1795,1872.5,1895,1800,1875,1650,1600,1650,1695,1650,1700,1750,1795,1795,1850,1850,1897.5,1800,1900,1770,1750,2000,2100,2200,2250,2250,2125,2050,2050,2050,2392.5,2395,2395,2400,2425,2395,2495,2400,2350,2400,2500,2600,2587.5,2650,2700,2700,2750,2700,2700,2747.5,2772.5,2795,2750,2700,2725,2795
"Jacksonville","FL","Jacksonville","Duval",12,,,,,,,,995,950,950,950,950,990,950,950,950,950,950,975,950,906,925,925,925,925,900,900,925,915,950,950,950,950,925,900,925,950,950,950,950,950,950,952,995,1000,999,999,995,1000,1000,995,995,999,1025,1050,1050,1000,1000,1000,1000,1000,1037.5,1025,1000,1000,1000,1000,1025,1050,1095,1025,1050,1050,1050,1050,1025,1050
"San Francisco","CA","San Francisco","San Francisco",13,,,,,,,,,2900,3150,2975,2995,3000,3095,3200,2995,3140,3200,3200,3500,3500,3397.5,3300,3200,3400,3400,3395,3455,3600,3600,3417.5,3500,3450,3485,3600,3600,3695,3695,3500,3800,3695,3400,3300,3450,3950,3900,3800,3850,3800,3800,3825,4000,3900,3995,4000,3995,4197.5,4100,4350,4300,4300,4265,4200,4500,4600,4600,4625,4550,4600,4500,4250,4425,4500,4500,4500,4395,4395
"Indianapolis","IN","Indianapolis","Marion",14,,,,,,,,,,,,1095,1025,1072.5,990,950,945,992.5,990,992.5,962.5,950,950,925,950,850,825,850,895,910,880,800,850,900,800,775,750,775,795,700,699,750,800,900,950,975,995,962.5,980,995,997.5,1000,1000,992.5,995,900,995,850,975,997.5,975,995,1030,1000,1000,1000,975,1000,995,995,995,997.5,1000,1020,1050,1050,1050
"Austin","TX","Austin","Travis",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1475,1475,1475,1495,1500,1550,1500,1500,1497,1495,1459.5,1450,1462.5,1500,1500,1500,1550,1522,1550,1567.5,1550,1550,1595,1600,1599,1600,1650,1625,1550,1550,1550
"Fort Worth","TX","Dallas-Fort Worth","Tarrant",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,725,725,847.5,800,799,850,850,799,795,700,676.5,795,739.5,787.5,850,865,895,885.5,874,850,850,850,850,917.5,900,897.5,850,865,895,950,954,1050,1025,942,942,917.5,876,960,950,960,942,850,875,899,959,984,958,905,933.5
"Columbus","OH","Columbus","Franklin",17,,,,,,,,,,,,,,,,,,947,900,1048.5,1047,1050,995,995,947,1050,1050,985,949,975,1000,1050,995,950,925,925,920,849.5,815,783.5,750,690,730.5,850,995,950,950,950,930,950,995,1097,995,995,980,999,999,975,975,975,1000,1072.5,895,997,1035,1041,1099,1150,1100,1100,1105,1100,1150,1195,1200,1100,1170
"Memphis","TN","Memphis","Shelby",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,895,950,900,975,1000,1175,1150,1195,1150,1150,1195,1150,1195,1200,1200,1195,1200
"Charlotte","NC","Charlotte","Mecklenburg",19,,985,975,995,995,950,950,950,950,950,945,950,975,962.5,975,1049.5,995,995,995,1000,992.5,950,975,995,995,995,995,1000,1050,1095,1050,995,995,1000,1000,1005.5,1035,1000,1025,1100,1100,1020,1050,1095,1100,1100,1100,1025,1047,1062.5,1050,1150,1150,1150,1150,1100,1175,1175,1195,1200,1200,1200,1225,1200,1200,1200,1250,1250,1200,1250,1200,1250,1250,1295,1295,1250,1250
"El Paso","TX","El Paso","El Paso",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1150,1200,1100,1100,1100,1100,999,975,977.5,977.5,975,980,995,1000
"Boston","MA","Boston","Suffolk",21,,,,,,,,,,2200,2200,2300,2207.5,2200,2000,2000,2100,2200,2300,2450,2500,2400,2364.5,2300,2300,2300,2250,2250,2250,2300,2350,2567,2500,2500,2500,2500,2495,2400,2400,2400,2400,2450,2400,2400,2500,2500,2500,2500,2500,2495,2500,2550,2550,2525,2500,2500,2500,2500,2500,2600,2600,2597,2600,2500,2500,2510,2500,2500,2500,2500,2600,2700,2700,2600,2600,2550,2500
"Seattle","WA","Seattle","King",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1750,1795,1800,1800,1850,1895,1800,1800,1895,1850,1900,1895,1862.5,1900,1845,1827.5,1950,1950,1950,2000,2150,2000,2000,1995,2050,2000,2000,2000,1995,2162.5,2247.5
