"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,2475,2450,2300,2308,2443,2300,2295,2500,2635,2695,2700,2700,2700,2750,2800,2800,2825,2800,2800,2800,2800,2750,2800,2750,2700,2755,2895,2895,2895,2895,2900,2800,2800,2750,2795,2800,2800,2838,2949,2495,2450,2450,2450,2429,2400,2400,2450,2450,2500,2500,2500,2495,2500,2500,2495,2444.5,2400,2400,2400,2425,2495,2500,2500
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,1542.5,1437.5,1450,1425,1400,1395,1400,1395,1350,1450,1495,1595,1595,1600,1595,1500,1450,1400,1450,1500,1400,1400,1400,1495,1450,1667,1750,1750,1695,1725,1752,1739,1650,1525,1697,1687,1650,1650,1715,1775,1785,1850,1889.5,1850,1895,1918,1960,1985,1995,1995,1965,1995,2000,2048,2025,2045,2055,2090,2080,2200,2220.5,2250,2277,2285,2270
"Chicago","IL","Chicago","Cook",3,,1200,1342.5,1453,1235,1300,1220,1345,1485,1550,1450,1395,1325,1250,1300,1318,1427,1360,1310,1340,1325,1400,1476,1364,1302.5,1345,1475,1600,1625,1600,1600,1520,1550,1557,1550,1576,1635,1535,1545,1620,1657,1647,1650,1600,1575,1600,1650,1600,1550,1550,1550,1575,1626,1705,1600,1712,1706,1650,1485,1575,1708,1581,1585,1620,1625,1600,1595,1700,1790,1860,1741.5,1675,1767,1600,1575,1600,1600
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267,1211,1243,1390,1400,1400,1350,1398,1400,1355.5,1365,1353,1396,1409,1444,1449,1455,1439,1450,1459,1445,1516,1500,1517,1495,1505,1495,1495,1490
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1341,1205,1200,1200,1275,1356,1350,1325,1300,1250,1265,1300,1300,1300,1300,1350,1400,1395,1395,1350,1350,1300,1300,1385,1300,1367.5,1390,1390,1400,1450,1439.5
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,525,600,600,600,625,575,629,710,750,730,673,597,697,750,774,705,774.5,680,625,625,635,625,625,625,647,650,699,710,725,745,705,700,730,729,695,700,769.5,760,755,785,760,772,765,795,799,775,765,803,819,815,845,844.5,830,844,849,850,860,865,900,975,950,942,995,962,975,1048
"Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1100,1000,995,1000,1000,1050,969.5,959,952.5,997,1000,1005,995,997,925,915,954,1009,940,960,1039.5,1011.5,989.5,1132.5
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,,,,,,,,,,,,,,,725,650,695,675,650,679.5,695,699,695,695,700,719,819,929.5,830,855,845,823,850,855,865,900,970,950,966,988,973,1037,1025,995,1000,989,1000,1030,1000,1035.5,975,949,960,973,980,983,980,975,1019,1023,1004,1010,1061,1044,995,1045
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,1250,1162.5,1135,1200,1195,1250,1295,1450,1495,1545,1530,1347.5,1375,1372.5,1375,1350,1345,1300,1275,1275,1275,1260,1295,1295,1300,1304,1450,1450,1452,1500,1500,1590,1600,1450,1400,1650,1724.5,1630,1620,1700,1882,1866.5,1825,1860,1800,1837.5,1850,1830,1820,1870,1875,1880,1893,1911,1940,1970,1990,1965,1940,1920,1915,1915,1950,1995,1975,1990
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277,1305,1290,1302,1275,1253,1259,1287,1341.5,1345,1321.5,1300,1259,1295,1279,1285,1301.5,1328.5,1375.5,1329.5,1288,1325,1340,1391,1400,1382.5,1374,1400
"San Jose","CA","San Jose","Santa Clara",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456,2408,2475,2540,2535,2540,2584.5,2611.5,2620,2635,2655,2695,2750,2775,2780,2710,2708,2685,2715,2750,2710,2700,2660,2601
"Jacksonville","FL","Jacksonville","Duval",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1015,1015,1015,1000,1000,1015,1029,1035,1035,1035,1030,1035,1050,1045,1050,995,950,945,969,971,995,999,995,995,1000,1015.5,999
"San Francisco","CA","San Francisco","San Francisco",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2985,2950,3000,2950,3200,3250,3700,3322.5,3500,3197.5,2750,3214,3208,3390,3495,3368,3246.5,3300,3400,3450,3300,3298,3422,3500,3495,3500,3650,3750,3700,3725,3827.5,3800,3800,3718,3800,3850,3955,3900,4000,3800,3770,3750,3822.5,3995,3995,3995,3932.5,4000,3911
"Indianapolis","IN","Indianapolis","Marion",14,,,,,,,,,,,,,,,,,,,,,,,,,699,696,599,600,575,593.5,591,595,595,559,550,575,595,627.5,650,649,695,602,604,650,659,649,625,615,627,625,635,629.5,625,600,649.5,650,650,630,650,650,665,685,719,725,725,709,700,750,760.5,796,789,775,799,804,839,875,850
"Austin","TX","Austin","Travis",15,887,850,850,895,937.5,835,925,925,895,875,835,850,850,856,875,895,895,875,810,845,815,950,950,1100,1225,1192,1150,1163,1025,995,995,999,995,995,925,975,970,975,995,989,995,1035,1044,1054.5,1050,1092,1050,1120,1147.5,1166,1189.5,1225,1239.5,1269,1277.5,1269,1285,1360.5,1295,1278.5,1330,1300,1330,1300,1341,1334,1350,1388,1389,1308.5,1297,1301,1308,1335,1331,1341,1336
