"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"New York","NY","New York","Queens",1,2275,2425,2595,2500,2600,2500,2400,2500,2600,2500,2550,2295,2150,2400,2500,2500,2400,2450,2500,2450,2450,2500,2495,2495,2550,2550,2600,2650,2695,2700,2750,2775,2795,2795,2750,2700,2795,2789,2800,2850,2895,2800,2825,2880,2895,2800,2800,2750,2791,2795,2800,2800,2900,2500,2500,2500,2500,2500,2450,2475,2500,2500,2550,2595,2550,2500,2575,2550,2500,2500,2495,2450,2495,2500,2500,2550,2600
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,1435,1450,1450,1495,1500,1500,1525,1500,1450,1500,1500,1595,1648,1650,1650,1695,1650,1672.5,1695,1700,1690,1695,1625,1640,1730,1750,1750,1760,1731,1725,1700,1795,1798.5,1650,1800,1795,1750,1750,1795,1875,1895,1975,1995,1998.5,2025,2040,2095,2100,2095,2123,2105,2156,2195,2195,2193.5,2200,2200,2195,2190,2298,2319.5,2350,2350,2339,2315
"Chicago","IL","Chicago","Cook",3,,1325,1345,1325,1370,1300,1300,1400,1500,1550,1575,1395,1395,1350,1385,1395,1449,1400,1395,1400,1395,1400,1410,1440,1400,1395,1400,1425,1450,1475,1500,1529,1550,1500,1508,1500,1613,1560,1580,1600,1634,1625,1625,1615,1595,1600,1643,1600,1565,1560,1568,1600,1650,1700,1625,1707,1708,1674,1561,1605,1707,1600,1619,1650,1650,1650,1638,1700,1747,1800,1700,1685,1750,1650,1650,1653,1650
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136,1200,1195,1210,1275,1262,1338.5,1300,1387.5,1395,1395,1277,1413,1259,1215,1243,1379,1380,1390,1350,1385,1395,1350,1355,1346,1385,1395,1436.5,1435,1437,1420,1429,1445,1423,1500.5,1495,1503,1485,1497,1485,1485,1479
"Philadelphia","PA","Philadelphia","Philadelphia",5,1500,1290,1200,1290,1350,1300,1400,1200,1315,1300,1295,1200,1225,1300,1350,1350,1300,1280,1250,1200,1195,1175,1195,1190,1275,1300,1350,1300,1300,1300,1250,1200,1200,1200,1200,1200,1325,1310,1335,1360.5,1300,1295,1250,1295,1250,1295,1295,1225,1230,1250,1295,1400,1400,1400,1350,1300,1300,1300,1299,1300,1350,1400,1450,1450,1415,1400,1400,1352,1350,1395,1345,1380,1400,1425,1465,1495,1450
"Phoenix","AZ","Phoenix","Maricopa",6,,825,775,800,825,795,850,825,850,850,875,775,759,795,800,800,800,795,799,800,772,750,731.5,750,750,769,764,755,768.5,775,780,795,780,775,760,750,760,780,788,790,795,785,788,800,800,784.5,799,830,835,845,850,850,850,850,856,850,850,850,865,885,888,895,900,900,900,900,925,916,910,909,980,975,975,1010.5,990,981,1030.5
"Las Vegas","NV","Las Vegas","Clark",7,895,899,895,897,850,895,897,850,817.5,795,750,795,785,778.5,800,850,805,845,825,825,795,775,795,775,795,785,775,775,780,775,775,785,780.5,798.5,795,785,795,800,800,800,850,895,900,925,935,900,950,975,975,985,995,995,995,950,910,907.5,949,950,989,950,935,950,950,950,975,950,950,900,900,949,975,929,950,975,975,960,1050
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,910.5,900,799,735,750,775,750,750,781.5,785,815,809,708,716,725,739.5,858,860,815,795,800,803,840,845,820,830.5,800,795,825,895,889,849,855,855,875,890,895,900,940,980,970,975,979.5,959,1000,1000,989.5,995,967,974,999.5,975,995,960,935,944,975,980,985,980,975,1013,1019,999,1005,1055,1035,995,1025
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,1985,1699,1850,1595,1595,1550,1600,1595,1595,1600,1674,1700,1650,1600,1600,1600,1595,1625,1589,1585,1625,1600,1595,1620.5,1545,1562,1600,1595,1595,1622,1600,1615,1650,1650,1670,1800,1754,1649,1795,1834,1775,1750,1795,1900,1950,1900,1925,1900,1920,1900,1895,1890,1900,1900,1900,1900,1936.5,1950,1995,2000,1995,1975,1950,1955,1955,1975,1995,1980,1995
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,1036,1100,1000,1000,1009,1020,865,854,850,950,1035,975,950,1022,975,1100,1149,1100,1025,1100,1095,1115,1196.5,1281,1196,1209,1210,1168,1218,1231,1179,1285,1337,1335,1325,1350,1300,1300,1323,1295,1300,1285,1260,1259,1287,1335,1335,1319,1300,1275,1300,1295,1295,1320,1337,1370,1336,1295,1328,1341,1382.5,1399.5,1380,1365,1389
"San Jose","CA","San Jose","Santa Clara",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1775,1799.5,1845,1740,1775,1750,1939,1973,2089,1999,2031.5,2200,2192,2170,2155,2260,2331.5,2374.5,2425,2400,2457,2500,2524,2509,2550,2595,2600,2617,2622.5,2675,2735,2750,2750,2695,2700,2680,2705,2750,2703,2699,2655,2625
"Jacksonville","FL","Jacksonville","Duval",12,,,,,,,,795,795,795,795,825,850,850,875,890,875,879,875,875,850,850,845,823,825,831.5,828,855,850,845,815,795,800,800,875,900,925,939,939,940,939,950,975,990,999,998,999,1000,1000,1000,1000,1000,1010,1000,1000,1015,1025,1035,1035,1035,1029,1035,1045,1044,1050,990,975,975,988,995,995,1000,1000,1000,1000,1005,1000
"San Francisco","CA","San Francisco","San Francisco",13,,,,,,,,,,,,,2100,2200,2250,2295,2395,2450,2600,2850,2775,2832.5,2685,2760,2795,2925,2795,2800,2950,3000,2875,2995,2937.5,2950,3003,2950,3045,3084,3000,3300,3250,3271,3240,3279,3234,3395,3441,3486,3350,3320,3450,3544,3515,3520,3695,3749,3795,3750,3840,3822.5,3850,3795,3800,3900,3995,3994.5,4000,3950,3900,3895,3876,3995,4095,4000,3999,4000,3995
"Indianapolis","IN","Indianapolis","Marion",14,,,,,,,,,,,,600,600,600,640,650,600,600,650,699,670,663.5,696,723,725,709,669,660.5,648,642,650,685,669,669,650,650,655,667,669,655,695,650,653.5,675,695,675,675,650,659,655,675,675,670,660,675,700,675,695,680,695,695,700,750,754,755,749.5,740,794.5,795,804,795,789,800,820,849,885,860
"Austin","TX","Austin","Travis",15,1050,999,999,1095,1162.5,1050,995,1150,1100,1050,1062.5,1000,1000,1025,1067.5,1095,1025,1000,905,925,949.5,1085,1050,1055,1075,1070,1035,1070,1036,1025,1009,1034,1042,1033,1025,1025,1033,1023,1035,1025,1030,1060,1095,1105,1125,1185,1200,1250,1235,1200,1219,1264.5,1277,1313.5,1316,1300,1305,1380.5,1319,1322,1360.5,1350,1375,1350,1380,1389,1395,1414.5,1434,1344,1329,1340,1350,1358,1350,1355,1350
"Fort Worth","TX","Dallas-Fort Worth","Tarrant",16,,,,,,,,,,,,,765,780,751.5,732.5,750,780,662,650,699,720,710,725,775,785,769,779.5,791,795,821.5,800,810,810,810,812,809,825,815,812,843,815,810,850,835.5,795,875,868,850,850,925,954.5,948,895,875,865,895,930,929,932,1015,995,977,975,974,989,1030,1019,1098,1065.5,1025,1033,1049,1094,1100,1121,1082
"Detroit","MI","Detroit","Wayne",17,,,,,,,,,,,,,,,,,,,,,,,,585,565,585,595,600,550,550,577.5,595,550,575,550,550,550,599.5,550,577,595,575,550,550,575,550,550,550,585,575,575,627,645,629,675,650,650,627,650,650,625,625,600,600,600,600,600,582.5,600,600,600,600,625,625,625,625,625
"Columbus","OH","Columbus","Franklin",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,700,699,699,675,689,715,715,712.5,695,650,687,699,699,675,699,719,749,760,775,792.5,790,795,795,825,840,845,849,867,895,879,859,899,875,900,900,915,888,899,900,899,894.5,900,910,920,925
"Memphis","TN","Memphis","Shelby",19,,,,,,,,,,,,,930.5,895,995,995,995,895,900,895,815,767.5,755,740,750,742,750,725,722,750,749,731,738,776,743,725,747,752,738,719,709,725,680,705,702,695,700,649,672,695,696,725,725,725,695,695,695,705,652,747.5,725,695,712.5,680,695,750,730.5,813.5,873,800,800,820,800,875,875,875,856
"Charlotte","NC","Charlotte","Mecklenburg",20,,900,925,950,950,912.5,900,950,950,950,995,899,925,925,885,895,900,900,900,915,895,900,900,930,922.5,905,865.5,885,895,900,920,950,941.5,925,900,886,900,955,960,978,980,982,960,1050,1050,1000,1014,996,1000,995,1000,1100,1130,1125,1129.5,1096,1085,1115,1129,1175,1135,1162,1187,1179,1150,1155.5,1185,1190,1155,1195,1150,1179,1259.5,1305,1259,1278.5,1295
"El Paso","TX","El Paso","El Paso",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,682.5,695,750,824,824,800,825,795,775,800,800,750,850,810,835,800,815,800,840,839,825,800,825,800,850,850,850,850,850,850,850,795,795,800,800,796,795,798,795,823,828,850,850
"Boston","MA","Boston","Suffolk",22,,,,,2000,2100,2200,2200,2200,2200,2200,2100,2050,1875,1810,1800,1850,1980,2100,2250,2200,2200,2195,2250,2171,2180,2100,2150,2100,2145,2200,2325,2230,2375,2400,2400,2395,2295,2240,2200,2250,2300,2300,2300,2325,2400,2375,2400,2400,2399,2400,2350,2350,2350,2300,2300,2300,2350,2400,2500,2500,2400,2400,2400,2400,2400,2400,2400,2400,2400,2495,2600,2600,2550,2500,2450,2500
"Seattle","WA","Seattle","King",23,,,1200,1250,1295,1250,1395,1350,1375,1395,1250,1095,1150,1145,1120,1170,1195,1200,1250,1250,1285,1250,1225,1200,1268.5,1267,1285,1295,1377,1385,1382.5,1404,1448,1445,1400,1390,1425,1455,1450,1475,1465,1500,1500,1585,1562.5,1560,1600,1560,1557,1550,1600,1652,1700,1735,1743,1746,1720,1695,1670,1695,1707,1716,1730,1750,1750,1800,1843,1845,1800,1795,1795,1800,1800,1875,1850,1895,1880
"Baltimore","MD","Baltimore","Baltimore City",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1300,1250,1300,1395,1295,1275,1300,1300,1300,1283,1225,1250,1200,1245,1250,1325,1400,1280,1300
"Denver","CO","Denver","Denver",25,,,,,,,,,,,,,905,995,1000,995,982.5,1050,1150,1195,1150,1052.5,1152.5,1150,1125,1169,1155,1205.5,1205,1131,1200,1250,1200,1163.5,1175,1150,1157,1166,1193.5,1157,1168,1250,1260,1250,1295,1304.5,1349,1275,1280,1300,1334,1399,1405,1489,1550,1539,1591,1600,1550,1550,1589,1590,1595,1600,1644,1640,1690,1670,1615,1595,1590,1565,1560,1575,1515,1530,1514
