"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,2300,2300,2550,2600,2600,2595,2500,2500,2500,2400,2400,2400,2495,2500,2500,2500,2450,2399,2395,2400,2600,2700,2750,2695,2700,2600,2550,2555.5,2550,2550,2500,2500,2550,2550,2510,2600,2600,2700,2600,2499,2600,2600,2600,2637,2650,2700,2700,2695,2700,2650,2650,2700,2700,2692.5,2700,2700,2761,2762
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2762.5,2700,2695,2700,2995,3150,3200,3200,3300,3200,3200,3250,3275,3250,3300,3500,3600,3800,3695,3800,3800,3650,3500,3500,3900,4000,3995,3950,3850,4000
"Chicago","IL","Chicago","Cook",3,,,1550,1500,1450,1575,1597.5,1500,1572.5,1675,1700,1700,1592.5,1550,1515,1550,1558.5,1574,1600,1595,1599,1545,1500,1500.5,1507,1515,1551.5,1495,1527,1600,1599.5,1575,1500,1500,1488,1512,1510,1486.5,1500,1500,1526,1500,1565,1550,1550,1544.5,1544,1600,1557,1516.5,1520,1500,1600,1600,1602,1636,1655,1675,1675,1650,1650,1619.5,1612,1650,1650,1600,1600,1605,1600,1590,1579,1550,1550,1550,1550,1550,1550,1526
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165,1100,1150,1200,1250,1395,1400,1400,1450,1475,1475,1467,1450,1475,1500,1500,1540,1600,1625,1695,1639,1600,1600,1600,1600,1650,1609.5,1600,1650,1600,1500,1500
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,1500,1400,1300,1500,1497.5,1380,1297.5,1237.5,1200,1300,1200,1300,1400,1400,1362.5,1300,1275,1200,1200,1265,1200,1100,1150,1185,1200,1280,1300,1350,1300,1250,1250,1200,1200,1197.5,1200,1200,1200,1270,1425,1400,1400,1375,1350,1300,1300,1300,1350,1350,1400,1500,1500,1500,1500,1450,1400,1400,1462.5,1425,1400,1450,1500,1500,1500,1500
"Phoenix","AZ","Phoenix","Maricopa",6,,1300,1225,1250,1250,1235,1200,1200,1195,1150,1175,1150,1092.5,1095,1095,1095,1095,1100,1095,1095,1050,1050,1000,1000,1000,1000,1075,1095,1095,1100,1099,1095,1075,1050,1025,1025,1050,1050,1050,1050,1050,1095,1095,1025,1100,1100,1095,1100,1100,1095,1099,1100,1175,1195,1195,1200,1195,1195,1195,1195,1200,1200,1250,1250,1250,1250,1250,1250,1225,1250,1227.5,1250,1275,1250,1295,1295,1295,1300
"Las Vegas","NV","Las Vegas","Clark",7,,1395,1350,1250,1262.5,1195,1200,1250,1275,1250,1250,1200,1200,1200,1200,1200,1245,1200,1200,1200,1200,1200,1195,1195,1195,1175,1195,1195,1195,1195,1195,1191,1150,1150,1150,1145,1150,1150,1150,1175,1195,1195,1199.5,1200,1199,1195,1195,1199,1200,1200,1200,1200,1225,1250,1250,1250,1250,1250,1250,1250,1250,1250,1275,1295,1275,1295,1300,1300,1300,1295,1299,1295,1295,1300,1315,1300,1300,1303.5
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905,891,925,923.5,1050,970,1080,1085,1095,1075,1090,1095,1095,1100,1130,1100,1150,1175,1150,1134,1125,1100,1100,1100,1133,1150,1125,1145.5,1150,1141,1120,1100,1105,1125,1119,1141,1145,1105,1096,1095,1100
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,,,,,,,2700,2895,2850,2800,2597.5,2490,2350,2300,2300,2300,2250,2300,2275,2150,2190,2300,2295,2295,2299,2250,2200,2195,2150,2100,2050,2200,2350,2400,2450,2525,2650,2595,2400,2500,2495,2395,2350,2350,2600,2712.5,2700,2695,2650,2650,2695,2650,2750,2850,2695,2695,2650,2600,2695,2695,2695,2600,2695,2750,2800,2900,2800,2800,2700,2700
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1195,1151.5,1150,1150,1195,1195,1150,1195,1200,1200,1195,1200,1200,1200,1250,1200,1195,1250,1200,1200,1200,1250,1295,1295,1300,1300,1335,1300,1295,1295,1295,1295,1350,1395,1400,1450,1495,1500,1400,1400,1400,1400,1425,1495,1595,1500,1500,1500
"San Jose","CA","San Jose","Santa Clara",11,,,,,,,,,,,,,,2200,2300,2450,2400,2450,2450,2395,2350,2400,2450,2400,2295,2395,2395,2400,2400,2492.5,2495,2415,2450,2500,2400,2500,2500,2475,2500,2500,2590,2600,2800,2749,2797.5,2800,2700,2850,2650,2600,2695,2700,2895,2995,2992.5,3095,3000,3000,2995,3000,3097.5,3000,3100,3195,3300,3500,3495,3400,3400,3450,3400,3300,3300,3400,3395,3467.5,3500,3500
"Jacksonville","FL","Jacksonville","Duval",12,,,950,995,1025,1000,1050,1037.5,1000,1000,1000,1012.5,995,1000,1050,1050,1050,1075,1050,998,995,995,995,995,995,999,1000,1007.5,1050,1050,1050,1050,1050,1025,1000,1000,1025,1025,1025,1050,1100,1100,1095,1100,1080,1075,1075,1075,1050,1057.5,1095,1095,1100,1100,1095,1075,1075,1050,1050,1050,1050,1050,1075,1095,1100,1100,1100,1100,1099,1095,1095,1095,1097,1100,1125,1150,1150,1150
"San Francisco","CA","San Francisco","San Francisco",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,3920,3800,3850,4200,3995,4000,4207.5,4272.5,4499.5,4325,4600,4500,4500,4725,4800,4500,4595,4900,5200,4800,4550,4500,4500,4662.5,4600,4500,4492.5,4595,4685
"Indianapolis","IN","Indianapolis","Marion",14,,,,,,,,,,,,,,750,750,775,780,750,750,750,750,750,750,750,775,775,765,770,750,750,750,775,775,775,765,750,750,775,800,800,825,820,875,850,800,795,795,800,825,825,835,850,850,850,850,875,875,875,850,850,850,887,900,900,932.5,900,875,875,875,850,800,825,825,850,875,920,950,925
"Austin","TX","Austin","Travis",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,1325.5,1325.5,1300,1300,1259.5,1250,1285,1350,1400,1325,1326.5,1395,1395,1366,1350,1303.5,1300,1300,1300,1300,1350,1400,1500,1500,1500,1500,1500,1500,1450,1450,1475,1422.5,1325,1295,1421
"Fort Worth","TX","Dallas-Fort Worth","Tarrant",16,,,,,,,,,,,,,,1250,1250,1250,1275,1250,1250,1250,1250,1225,1200,1200,1200,1250,1250,1225,1200,1250,1250,1200,1200,1200,1250,1200,1200,1200,1250,1250,1295,1300,1295,1295,1300,1295,1267.5,1300,1295,1295,1295,1295,1350,1350,1350,1350,1350,1325,1350,1350,1350,1375,1395,1400,1400,1400,1400,1400,1400,1395,1400,1400,1400,1400,1450,1450,1450,1450
"Detroit","MI","Detroit","Wayne",17,,,850,900,862.5,800,750,850,850,800,815,800,725,725,750,750,750,745,725,750,700,700,695,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,750,725,735,700,725,725,700,700,700,700,725,750,750,750,750,750,750,750,750,750,750,750,727.5,725,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
"Columbus","OH","Columbus","Franklin",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,975,1050,950,949,947,935,975,950,925,950,1000,1095,1000,1075,1075,1005,1050,1095,1095,1100,1099,1000,1122.5,1100,1195,1098,1129,1150,1195,1200,1195,1150
