"RegionName","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"New York","NY","New York","Queens",1,2000,1950,1850,1995,2000,2000,2091.5,2100,2095,2200,2149.5,2000,2100,2100,2100,2100,2150,2195,2195,2150,2100,2095,2095,2100,2100,2150,2190,2175,2150,2195,2195,2200,2200,2200,2190,2200,2200,2200,2200,2200,2200,2200,2261,2275,2250,2260.5,2250,2250,2250,2250,2295,2295,2200,2150,2150,2200,2200,2175,2195,2200,2199,2250,2200,2200,2150,2200,2200,2200,2195,2150,2150,2150,2150,2155,2150,2175
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,1100,990,895,850,850,850,850,912,925,905,895,895,900,950,925,925,945,950,1010,1025,1025,1065,1050,995,1095,1050,1050,927.5,1000,1068,1050,999,1025,1095,1115,1200,1295,1245,1200,1200,1295,1275,1295,1295,1300,1295,1375,1350,1350,1350,1350,1350,1350,1395,1400,1500,1470,1540,1545
"Philadelphia","PA","Philadelphia","Philadelphia",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863.5,850,900,995,950,950,925,920,900,897.5,950,925,950,985,990,1025,1035,1019
"San Antonio","TX","San Antonio","Bexar",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815,785,775,795,822,734,719,699,677,697,730,724,704,700,694,700,695,695,713.5,736,710,720,720
"Dallas","TX","Dallas-Fort Worth","Dallas",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,899.5,894,933,936.5,925,940,950,922,1005,1003,1005,963,979.5,1053,1017,999,975,974,1030,959,952.5,959,979,1030,1025,1105,1105,1090,1089.5,1095,1123,1145,1097
"San Jose","CA","San Jose","Santa Clara",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2107.5,2145,2115,2115,2173,2111,2188,2314,2360,2330,2332.5,2345,2350,2290,2330,2290,2185,2203.5,2272.5
"Jacksonville","FL","Jacksonville","Duval",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,629,629,629,629,700,680,700,680,761.5,700,700,719,761.5,761.5,750,735,738,741.5,785
"San Francisco","CA","San Francisco","San Francisco",8,,,,,,,,,,,,,,,,,,,,1950,1795,1700,1695,1795,2000,1949,1855,2000,2090,2085,2134.5,2124,2110,2085,2137.5,2071.5,2045,1999,2144.5,2080,2188,2186,2190,2195,2200,2370.5,2405,2400,2295,2395,2395,2405,2500,2600,2600,2595,2500,2700,2579,2672,2500,2500,2495,2642.5,2595,2685,2596,2500,2596,2700,2700,2675,2646,2600,2650,2700
"Austin","TX","Austin","Travis",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,630,698.5,750,750,725,755,765,775,775,750,735,750,790,809,825,850,850,849,850,850,850,800,827.5,860,825,850,825,825,835,802,860,822.5,915,900,930,940,950,940,935,925
"Boston","MA","Boston","Suffolk",10,,,,,,,,,,,,1300,1295,1275,1250,1250,1285,1300,1375,1330,1375,1275,1325,1325,1345,1350,1395,1382.5,1375,1395,1495,1500,1500,1500,1495,1450,1450,1450,1485,1494.5,1490,1495,1495,1475,1525,1500,1500,1500,1525,1550,1525,1545,1550,1560,1550,1595,1600,1620,1625,1625,1600,1600,1625,1600,1620,1625,1625,1642.5,1650,1650,1650,1645,1600,1600,1600,1600
"Seattle","WA","Seattle","King",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1067,1083,1135.5,1176.5,1175,1141,1136,1135,1210,1179.5,1125,1127.5,1175,1180,1225,1151.5,1200,1205,1200,1175,1150,1205,1245,1296,1364,1386,1365,1351,1363.5,1368,1350,1365,1350,1378,1365,1395,1405,1418,1444,1390,1390,1429.5,1439,1401,1489.5,1443,1492,1395
"Baltimore","MD","Baltimore","Baltimore City",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,999.5,1040,960,1050,1040,930,930,935,900,930,890,875,900,925,905,950,955,990,975,1050
"Denver","CO","Denver","Denver",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135,1166,1150,1175,1155,1158.5,1251,1206,1250,1250.5,1138.5,1150,1199.5,1147.5,1144,1160,1125,1162.5,1105
